Id,CaptureTime,ServerName,InstanceName,CpuPercent,BatchRequestsPerSec,UserConnections,BlockedSessions,DeadlocksPerMin,AvgQueryDurationMs,AvgLogicalReads,TempdbUsedMb,SignalWaitTimeMs,PageLifeExpectancy,hour,day_of_week,is_weekend,CpuPercent_diff,BatchRequestsPerSec_diff,UserConnections_diff,BlockedSessions_diff,DeadlocksPerMin_diff,AvgQueryDurationMs_diff,AvgLogicalReads_diff,TempdbUsedMb_diff,SignalWaitTimeMs_diff,PageLifeExpectancy_diff,CpuPercent_rolling_mean_3,CpuPercent_rolling_std_3,BatchRequestsPerSec_rolling_mean_3,BatchRequestsPerSec_rolling_std_3,AvgQueryDurationMs_rolling_mean_3,AvgQueryDurationMs_rolling_std_3,AvgLogicalReads_rolling_mean_3,AvgLogicalReads_rolling_std_3,TempdbUsedMb_rolling_mean_3,TempdbUsedMb_rolling_std_3,SignalWaitTimeMs_rolling_mean_3,SignalWaitTimeMs_rolling_std_3,PageLifeExpectancy_rolling_mean_3,PageLifeExpectancy_rolling_std_3,duration_per_batch,reads_per_batch,signal_wait_per_connection,AnomalyFlag,AnomalyScore
487,2026-03-29 10:22:01,deweloper,MSSQLSERVER,0.0,24920.0,8,0,0,13.03,158.38,8.0,256786788.0,36568,10,6,1,0.0,167.0,-1.0,0.0,0.0,3.379999999999999,-74.42000000000002,0.0,118154.0,62.0,0.0,0.0,24803.0,101.6808733243674,10.503333333333332,2.226237483588996,207.9933333333333,42.96640703309196,8.0,0.0,256665915.0,122255.17894589796,36506.333333333336,61.50067750305687,0.0005228731942215,0.0063555377207062,32098348.5,1,0.49130980821152925
473,2026-03-29 10:07:47,deweloper,MSSQLSERVER,0.0,24223.0,5,0,0,12.46,232.8,8.0,255058425.0,35714,10,6,1,0.0,17.0,0.0,0.0,0.0,-9.89,0.3000000000000113,0.0,142807.0,61.0,2.5,4.330127018922194,24204.666666666668,19.03505538051846,11.643333333333333,11.137478769153129,155.1,134.32062388181495,8.0,0.0,254929365.0,122765.1244901811,35653.0,61.00000000002004,0.0005143871527061,0.0096107005738347,51011685.0,1,0.49068553590243347
399,2026-03-29 08:51:57,deweloper,MSSQLSERVER,0.0,22380.0,9,0,0,28.35,206.17,8.0,245646181.0,31163,8,6,1,0.0,160.0,0.0,0.0,0.0,22.58,37.30999999999997,0.0,129427.0,64.0,0.0,0.0,21895.666666666668,704.8803681003893,13.673333333333323,12.722917642322937,202.61,32.11831409024987,8.0,0.0,245515422.3333333,131429.5598577233,31099.33333333333,63.50065616460769,0.0012667560321715,0.0092122430741733,27294020.111111112,1,0.48443878108849114
444,2026-03-29 09:38:12,deweloper,MSSQLSERVER,0.0,23706.0,5,0,0,37.66,30.0,8.0,251374880.0,33940,9,6,1,0.0,17.0,0.0,0.0,0.0,27.419999999999995,-202.8,0.0,121818.0,62.0,0.0,0.0,23687.666666666668,19.03505538051846,20.556666666666665,14.916709869583716,165.20000000000002,117.0866345916561,8.0,0.0,251248414.0,128852.88910259708,33878.333333333336,61.50067750306774,0.0015886273517253,0.0012655024044545,50274976.0,1,0.4842731135108891
397,2026-03-29 08:49:49,deweloper,MSSQLSERVER,0.0,21087.0,9,0,0,6.9,232.8,8.0,245383332.0,31036,8,6,1,0.0,17.0,0.0,0.0,0.0,1.5900000000000007,63.94,0.0,147423.0,61.0,0.0,0.0,21062.666666666668,28.711205710329008,58.34333333333333,90.48294001265285,667.7766666666668,809.4069739218544,8.0,0.0,245249530.3333333,127537.71843810262,30975.33333333333,60.50068870133404,0.0003272158201735,0.0110399772371603,27264814.666666668,1,0.47849463288539834
474,2026-03-29 10:08:47,deweloper,MSSQLSERVER,0.0,24377.0,7,0,0,9.72,232.8,8.0,255170544.0,35773,10,6,1,0.0,154.0,2.0,0.0,0.0,-2.74,0.0,0.0,112119.0,59.0,0.0,0.0,24268.666666666668,94.20368004138314,14.843333333333334,6.64375145029798,232.7,0.173205080764879,8.0,0.0,255048195.66666663,127770.4810056842,35713.333333333336,60.00277771349981,0.000398736513927,0.0095499856422037,36452934.85714286,1,0.46958051893375036
437,2026-03-29 09:31:03,deweloper,MSSQLSERVER,0.0,23579.0,5,0,0,13.33,232.8,8.0,250460029.0,33510,9,6,1,0.0,17.0,0.0,0.0,0.0,1.7300000000000004,0.0,0.0,131297.0,62.0,0.0,0.0,23394.0,305.82511342269794,123.92666666666668,193.0592075849617,169.97666666666666,108.81320523416878,8.0,0.0,250327585.66666663,133020.20460973075,33447.666666666664,62.500666663133416,0.0005653335595233,0.0098731922473387,50092005.8,1,0.46607220184542053
77,2026-03-29 01:15:39,deweloper,MSSQLSERVER,0.0,15042.0,7,0,0,21.94,195.33,8.0,196952458.0,7385,1,6,1,0.0,19.0,1.0,0.0,0.0,15.490000000000002,-37.47,0.0,145153.0,64.0,0.0,0.0,15023.666666666666,18.00925687919472,11.446666666666664,9.090931378760558,220.31000000000003,21.633314586535278,8.0,0.0,196820617.66666663,125713.77879258317,7322.666666666667,61.51693533762266,0.0014585826352878,0.0129856402074192,28136065.42857143,1,0.4640356251238752
357,2026-03-29 07:00:04,deweloper,MSSQLSERVER,0.0,20156.0,6,0,0,0.12,0.0,8.0,231732561.0,24450,7,6,1,0.0,17.0,0.0,0.0,0.0,-5.45,-232.8,0.0,134983.0,61.0,0.0,0.0,20139.0,17.000000000220016,3.779999999999994,3.169905361363327,155.20000000000002,134.40714266734489,8.0,0.0,231605639.3333333,123089.14129335356,24389.33333333333,60.500688701305954,5.953562214725144e-06,0.0,38622093.5,1,0.46083004043024733
303,2026-03-29 06:05:01,deweloper,MSSQLSERVER,0.0,19191.0,6,0,0,0.09,0.0,8.0,224969454.0,21149,6,6,1,0.0,17.0,0.0,0.0,0.0,-5.61,-232.8,0.0,110080.0,62.0,0.0,0.0,19174.0,17.000000000219938,3.8333333333333286,3.241825617353944,155.20000000000002,134.40714266734489,8.0,0.0,224851307.3333333,122379.55603506965,21087.666666666668,61.00273217924384,4.689698296076285e-06,0.0,37494909.0,1,0.46071110798269405
126,2026-03-29 03:05:13,deweloper,MSSQLSERVER,2.5,16031.0,6,0,0,6.21,232.8,8.0,202922821.0,10359,3,6,1,2.5,17.0,0.0,0.0,0.0,-0.3399999999999998,0.0,0.0,122496.0,60.0,0.8333333333333334,1.4433756729740643,16014.0,17.000000000220016,6.256666666666663,0.2730079363925519,232.8,0.0,8.0,0.0,202799009.3333333,124474.71496782042,10299.0,59.99999999999963,0.0003873744619799,0.0145218638887156,33820470.166666664,1,0.4595835404400398
478,2026-03-29 10:12:52,deweloper,MSSQLSERVER,0.0,24484.0,8,0,0,6.01,90.0,8.0,255656313.0,36019,10,6,1,0.0,17.0,0.0,0.0,0.0,-8.97,-142.8,0.0,99925.0,62.0,0.0,0.0,24454.0,38.19685850964781,11.08,4.598032187795484,185.2,82.44561844027855,8.0,0.0,255541518.3333333,122905.9840383052,35957.333333333336,61.50067750305687,0.0002454664270544,0.0036758699558895,31957039.125,1,0.45909007595115014
385,2026-03-29 08:37:31,deweloper,MSSQLSERVER,0.0,20732.0,6,0,0,46.69,232.8,8.0,243827935.0,30298,8,6,1,0.0,21.0,0.0,0.0,0.0,28.43,0.0,0.0,136351.0,62.0,0.0,0.0,20712.33333333333,19.035055380556017,66.15333333333332,60.03962552625834,232.8,0.0,8.0,0.0,243694679.66666663,131734.78250783708,30235.666666666668,62.500666663132144,0.0022520740883658,0.011229017943276,40637989.16666666,1,0.4539197898065305
400,2026-03-29 08:52:58,deweloper,MSSQLSERVER,0.0,22416.0,10,0,0,7.59,232.8,8.0,245773507.0,31226,8,6,1,0.0,36.0,1.0,0.0,0.0,-20.76,26.630000000000024,0.0,127326.0,63.0,0.0,0.0,22338.666666666668,104.33280085064116,13.903333333333329,12.544231077803545,202.61,32.11831409024987,8.0,0.0,245645480.66666663,128377.93270026916,31162.666666666668,63.50065616460769,0.0003385974304068,0.0103854389721627,24577350.7,1,0.45289929331081724
419,2026-03-29 09:12:26,deweloper,MSSQLSERVER,0.0,22755.0,5,0,0,16.61,26.0,8.0,248142086.0,32393,9,6,1,0.0,21.0,0.0,0.0,0.0,8.68,-206.8,0.0,120326.0,61.0,0.0,0.0,22735.33333333333,19.035055380518628,11.67999999999999,4.458688147874762,163.86666666666667,119.3960356684146,8.0,0.0,248021696.66666663,120421.01249946722,32332.0,61.00000000002281,0.0007299494616567,0.0011426060206548,49628417.2,1,0.45152479473459706
343,2026-03-29 06:45:48,deweloper,MSSQLSERVER,0.0,19906.0,6,0,0,23.8,30.0,8.0,229982241.0,23594,6,6,1,0.0,17.0,0.0,0.0,0.0,16.09,-202.8,0.0,140149.0,60.0,0.0,0.0,19889.0,17.000000000220016,12.573333333333329,9.751463138080014,165.20000000000002,117.0866345916561,8.0,0.0,229853884.3333333,122885.59071890764,23533.0,61.5060972587212,0.0011956194112327,0.0015070832914699,38330373.5,1,0.4512074121230592
477,2026-03-29 10:11:51,deweloper,MSSQLSERVER,0.0,24467.0,8,0,0,14.98,232.8,8.0,255556388.0,35957,10,6,1,0.0,56.0,1.0,0.0,0.0,2.7300000000000004,0.0,0.0,144534.0,61.0,0.0,0.0,24424.0,38.19685850964781,14.916666666666666,2.635570779420751,232.8,1.6648380277866409e-06,8.0,0.0,255426767.0,122845.28171277746,35896.333333333336,60.5006887013299,0.0006122532390566,0.0095148567458209,31944548.5,1,0.44706872472547765
